Grantee Name,Grantee Type,Grantee City,Grantee State,Licensee Name
KAKM-TV,TV,Anchorage,AK,Alaska Public Media
KYUK-TV                                                                         ,TV,Bethel,AK,"Bethel Broadcasting, Inc."
KUAC-TV                                                                         ,TV,Fairbanks ,AK,University of Alaska
KTOO-TV                                                                         ,TV,Juneau,AK,KTOO Public Media
Alabama Public Television,TV,Birmingham,AL,Alabama Educational Television Commission
Arkansas Educational Television Network                                         ,TV,Conway,AR,Arkansas Educational Television Commission
KVZK-TV                                                                         ,TV,Pago Pago,AS,"Office of Television Operations, Government of American Samoa"
KAET-TV                                                                         ,TV,Phoenix,AZ,Arizona Board of Regents for Arizona State University
KUAT-TV                                                                         ,TV,Tucson,AZ,University of Arizona
KRCB-TV                                                                         ,TV,Rohnert Park,CA,Rural California Broadcasting Corporation
KEET-TV                                                                         ,TV,Eureka,CA,"Redwood Empire Public Television, Inc."
KVPT-TV                                                                         ,TV,Fresno,CA,"Valley Public Television, Inc."
KCET-TV                                                                         ,TV,Burbank,CA,Public Media Group of Southern California
KLCS-TV,TV,Los Angeles,CA,Los Angeles Unified School District
KIXE-TV                                                                         ,TV,Redding ,CA,"Northern California Educational Television Association, Inc."
KVIE-TV                                                                         ,TV,Sacramento ,CA,"KVIE, Inc."
KVCR-TV                                                                         ,TV,San Bernardino,CA,San Bernardino Community College District
KPBS-TV                                                                         ,TV,San Diego,CA,San Diego State University
KQED-TV                                                                         ,TV,San Francisco,CA,KQED Inc.
KBDI-TV                                                                         ,TV,Denver,CO,"Colorado Public Television, Inc."
KRMA-TV                                                                         ,TV,Denver,CO,"Rocky Mountain Public Broadcasting Network, Inc."
Connecticut Network,TV,Hartford,CT,"Connecticut Public Broadcasting, Inc."
WHUT-TV                                                                         ,TV,Washington ,DC,Howard University
WEFS-TV,TV,Cocoa ,FL,Eastern Florida State College
WUFT-TV                                                                         ,TV,Gainesville,FL,"Board of Trustees, University of Florida"
WJCT-TV                                                                         ,TV,Jacksonville,FL,"WJCT, Inc."
WPBT-TV                                                                         ,TV,Boynton Beach,FL,"South Florida PBS, Inc. "
WLRN-TV                                                                         ,TV,Miami,FL,"The School Board of Miami-Dade County, Florida"
WUCF-TV,TV,Orlando,FL,University of Central Florida
WSRE-TV                                                                         ,TV,Pensacola ,FL,Pensacola State College
WFSU-TV                                                                         ,TV,Tallahassee,FL,Florida State University
WEDU-TV                                                                         ,TV,Tampa,FL,"Florida West Coast Public Broadcasting, Inc."
WGCU-TV                                                                         ,TV,Fort  Myers,FL,"Board of Trustees, Florida Gulf Coast Universtiy"
WABE-TV,TV,Atlanta,GA,Board of Education of the City of Atlanta
Georgia Public Broadcasting                                                     ,TV,Atlanta,GA,Georgia Public Telecommunications Commission
KGTF-TV                                                                         ,TV,Barrigada,GU,Guam Educational Telecommunications Corporation
Hawaii Public Television                                                        ,TV,Honolulu ,HI,Hawaii Public Television Foundation
Iowa PBS,TV,Johnston,IA,Iowa Public Broadcasting Board
Idaho Public Television,TV,Boise,ID,"Idaho State Board of Education, Board of Regents"
WSIU-TV                                                                         ,TV,Carbondale,IL,Board of Trustees of Southern Illinois University
WEIU-TV                                                                         ,TV,Charleston ,IL,Eastern Illinois University
WTTW-TV                                                                         ,TV,Chicago,IL,"Window to the World Communications, Inc."
WQPT-TV                                                                         ,TV,Moline,IL,Western Illinois University
WTVP-TV                                                                         ,TV,Peoria,IL,Illinois Valley Public Telecommunications Corporation
WILL-TV                                                                         ,TV,Urbana,IL,The Board of Trustees of the University of Illinois
WTIU-TV                                                                         ,TV,Bloomington,IN,The Trustees of Indiana University
WNIN-TV                                                                         ,TV,Evansville,IN,"WNIN Tri-State Public Media, Inc."
WFWA-TV                                                                         ,TV,Fort Wayne,IN,"Fort Wayne Public Television, Inc."
WFYI-TV                                                                         ,TV,Indianapolis,IN,"Metropolitan Indianapolis Public Media, Inc."
WYIN-TV                                                                         ,TV,Merrillville ,IN,"Northwest Indiana Public Broadcasting, Inc."
WIPB-TV                                                                         ,TV,Muncie,IN,Ball State University
WNIT-TV                                                                         ,TV,South Bend,IN,Michiana Public Broadcasting Corporation
WVUT-TV                                                                         ,TV,Vincennes,IN,Board of Trustees for the Vincennes University
KOOD-TV                                                                         ,TV,Bunker Hill,KS,Smoky Hills Public Television
KTWU-TV,TV,Topeka ,KS,Washburn University of Topeka
KPTS-TV                                                                         ,TV,Wichita,KS,"Kansas Public Telecommunications Service, Inc."
WKYU-TV,TV,Bowling Green,KY,Western Kentucky University
Kentucky Network,TV,Lexington,KY,Kentucky Authority for Educational Television
Louisiana Public Broadcasting Network                                           ,TV,Baton Rouge,LA,Louisiana Educational Television Authority
WLAE-TV                                                                         ,TV,New Orleans,LA,"Educational Broadcasting Foundation, Inc."
WYES-TV                                                                         ,TV,New Orleans,LA,Greater New Orleans Educational Television Foundation
WGBH-TV                                                                         ,TV,Boston,MA,WGBH Educational Foundation
Maryland Network                                                                ,TV,Owings Mills,MD,Maryland Public Broadcasting Commission
Maine Network                                                                   ,TV,Lewiston,ME,Maine Public Broadcasting Corporation
WTVS-TV                                                                         ,TV,Wixom,MI,Detroit Educational Television Foundation
WKAR-TV                                                                         ,TV,East Lansing,MI,"Board of Trustees, Michigan State University"
WGVU-TV                                                                         ,TV,Grand Rapids,MI,Grand Valley State University
WNMU-TV                                                                         ,TV,Marquette,MI,The Board of Trustees of Northern Michigan University
WCMU-TV                                                                         ,TV,Mt. Pleasant,MI,Central Michigan University
WDCQ-TV                                                                         ,TV,University Center,MI,Delta College
KWCM-TV                                                                         ,TV,Granite Falls,MN,West Central Minnesota ETV Company
KSMQ-TV                                                                         ,TV,Austin ,MN,"KSMQ Public Service Media, Inc."
KAWE-TV                                                                         ,TV,Bemidji,MN,"Northern Minnesota Public Television, Inc."
WDSE-TV                                                                         ,TV,Duluth,MN,Duluth-Superior Area Educational Television Corporation
KTCA-TV                                                                         ,TV,St. Paul,MN,"Twin Cities Public Television, Inc."
KCPT-TV                                                                         ,TV,Kansas City,MO,"Public Television 19, Inc."
KETC-TV                                                                         ,TV,St. Louis,MO,"St. Louis Regional Public Media, Inc."
KOZK-TV                                                                         ,TV,Springfield,MO,Board of Governors of  Missouri State University
KMOS-TV                                                                         ,TV,Warrensburg,MO,University of Central Missouri
Mississippi Public Broadcasting,TV,Jackson,MS,Mississippi Authority for Educational Television
KUSM-TV                                                                         ,TV,Bozeman ,MT,Board of Regents - Montana University System
PBS North Carolina,TV,Research Triangle Park,NC,University of North Carolina 
WTVI-TV                                                                         ,TV,Charlotte ,NC,Central Piedmont Community College
Prairie Public Television                                                       ,TV,Fargo,ND,"Prairie Public Broadcasting, Inc."
Nebraska Network                                                                ,TV,Lincoln,NE,Nebraska Educational Telecommunications Commission
KUON-TV                                                                         ,TV,Lincoln,NE,The University of Nebraska
New Hampshire Network                                                           ,TV,Durham,NH,New Hampshire Public Broadcasting
New Jersey Network,TV,Trenton,NJ,New Jersey Public Broadcasting Authority
KNME-TV                                                                         ,TV,Albuquerque ,NM,Regents of the University of New Mexico and the Board of Education of the City of Albuquerque
KRWG-TV                                                                         ,TV,Las Cruces,NM,Regents of New Mexico State University
KENW-TV                                                                         ,TV,Portales,NM,Eastern New Mexico University
KLVX-TV                                                                         ,TV,Las Vegas,NV,Clark County School District
KNPB-TV                                                                         ,TV,Reno ,NV,"Channel 5 Public Broadcasting, Inc."
WSKG-TV                                                                         ,TV,Vestal,NY,WSKG Public Telecommunications Council
WNYE-TV                                                                         ,TV,Brooklyn,NY,New York City Department of Information Technology and Telecommunications (DoITT)
WNED-TV                                                                         ,TV,Buffalo,NY,Western New York Public Broadcasting Association
WNET-TV                                                                         ,TV,New York,NY,WNET
WCFE-TV                                                                         ,TV,Plattsburgh,NY,Mountain Lake Public Telecommunications Council
WXXI-TV                                                                         ,TV,Rochester,NY,WXXI Public Broadcasting Council
WMHT-TV                                                                         ,TV,Troy,NY,WMHT Educational Telecommunications
WCNY-TV                                                                         ,TV,Syracuse ,NY,"The Public Broadcasting Council of Central New York, Inc."
