station_id,station_name,title,downloaded_path,matched_date,matched_text,source,precision,all_matches
wskg-public-telecommunications-council,WSKG Public Telecommunications Council,FY25 Audited Financial Statements,output/audits/wskg-public-telecommunications-council/2026-03-03/wskg-public-telecommunications-council-2025-financial-statement-1.pdf,2025-12-18,2025-12-18,strings,precise,2025-12-18 [strings:precise] 2025-12-18
maine-public-broadcasting-corporation,Maine Public Broadcasting Corporation,FY25 CPB Financial Report — Maine Public Television,output/audits/maine-public-broadcasting-corporation/2026-03-03/fy25-audited-financial-statements.pdf,2025-12-19,2025-12-19,strings,precise,2025-12-19 [strings:precise] 2025-12-19 || 2025-12-22 [strings:precise] 2025-12-22
educational-broadcasting-foundation-inc,"Educational Broadcasting Foundation, Inc.",• Audited Financial Statements,output/audits/educational-broadcasting-foundation-inc/2026-03-03/WLAE-EBF-Audit-YE-7-31-25-1.pdf,2025-12-22,2025-12-22,strings,precise,2025-12-22 [strings:precise] 2025-12-22 || 2026-01-01 [strings:year:imprecise] 2026 || 2026-01-06 [strings:precise] 2026-01-06
gbh,GBH,VIEW THE 2026 ANNUAL REPORT,output/audits/gbh/2026-03-03/annualreport2026-final-3.pdf,2025-12-22,2025-12-22,strings,precise,2025-12-22 [strings:precise] 2025-12-22 || 2026-01-01 [raw_pdf:year:imprecise] 2026 || 2026-01-01 [strings:year:imprecise] 2026 || 2026-01-01 [title_filename:year:imprecise] 2026 || 2026-02-09 [raw_pdf:precise] 2026-02-09 || 2026-02-09 [strings:precise] 2026-02-09
wgbh-educational-foundation,WGBH Educational Foundation,VIEW THE 2026 ANNUAL REPORT,output/audits/wgbh-educational-foundation/2026-03-03/annualreport2026-final-3.pdf,2025-12-22,2025-12-22,strings,precise,2025-12-22 [strings:precise] 2025-12-22 || 2026-01-01 [raw_pdf:year:imprecise] 2026 || 2026-01-01 [strings:year:imprecise] 2026 || 2026-01-01 [title_filename:year:imprecise] 2026 || 2026-02-09 [raw_pdf:precise] 2026-02-09 || 2026-02-09 [strings:precise] 2026-02-09
elkhart-community-schools-corp,Elkhart Community Schools Corp.,CPB Audit Grid 2023.pdf,output/audits/elkhart-community-schools-corp/2026-03-03/cpb-audit-grid-2023.pdf,2026-01-01,2026,raw_pdf:year,imprecise,2026-01-01 [raw_pdf:year:imprecise] 2026 || 2026-01-01 [strings:year:imprecise] 2026
elkhart-community-schools-corp,Elkhart Community Schools Corp.,CPB Audit Grid 2024.pdf,output/audits/elkhart-community-schools-corp/2026-03-03/cpb-audit-grid-2024.pdf,2026-01-01,2026,raw_pdf:year,imprecise,2026-01-01 [raw_pdf:year:imprecise] 2026 || 2026-01-01 [strings:year:imprecise] 2026
ktoo-public-media,KTOO Public Media,posted here,output/audits/ktoo-public-media/2026-03-03/KTOO-Audited-Financial-Statement-FY24.pdf,2026-01-01,2026,strings:year,imprecise,2026-01-01 [strings:year:imprecise] 2026
new-wave-corporation,New Wave Corporation,FY 2022 Independent Auditor's Report,output/audits/new-wave-corporation/2026-03-03/FY-2022-Independent-Auditors-Report.pdf,2026-01-01,2026,strings:year,imprecise,2026-01-01 [strings:year:imprecise] 2026
wabe,WABE,2024 Audited Financial Report for WABE-TV,output/audits/wabe/2026-03-03/WABE-TV-2024-AFR.pdf,2026-01-01,2026,raw_pdf:year,imprecise,2026-01-01 [raw_pdf:year:imprecise] 2026 || 2026-01-01 [strings:year:imprecise] 2026
