station_id,station_name,title,downloaded_path,matched_text
alaska-pm,Alaska Public Media,FY25 Audited Financials,output/audits/alaska-pm/2026-03-03/2025-alaska-public-media-audited-financial-statements.pdf,2025; FY25
connecticut-public-broadcasting-inc,"Connecticut Public Broadcasting, Inc.",2025 Audited Financial Statements,output/audits/connecticut-public-broadcasting-inc/2026-03-03/2025-audited-financial-statements.pdf,2025
gbh,GBH,FY2025 Consolidated Financial Statements,output/audits/gbh/2026-03-03/fy2025-consolidated-financial-statements.pdf,FY2025
gbh,GBH,VIEW THE 2025 ANNUAL REPORT,output/audits/gbh/2026-03-03/annualreport2025-final-interactive-144-1.pdf,2025
gbh,GBH,VIEW THE 2026 ANNUAL REPORT,output/audits/gbh/2026-03-03/annualreport2026-final-3.pdf,2026
ktoo-public-media,KTOO Public Media,Annual Report on Diversity,output/audits/ktoo-public-media/2026-03-03/Annual-Report-on-Diversity-Policy-2025.pdf,2025
maine-public-broadcasting-corporation,Maine Public Broadcasting Corporation,FY25 CPB Financial Report — Maine Public Television,output/audits/maine-public-broadcasting-corporation/2026-03-03/fy25-audited-financial-statements.pdf,FY25
npr,NPR,FY2025,output/audits/npr/2026-03-03/National_20Public_20Radio__20Inc._202025_20Audited_20Consolidated_20Financial_20Statements.pdf,FY2025
pbs-national,PBS (national),2025 PBS Financial Report [PDF] (470 KB),output/audits/pbs-national/2026-03-03/c0efb8e259_FY2025_20PBS_20Consolidated_20Audited_20Financial_20Statements.pdf,2025
wabe,WABE,2024 Audited Financial Report,output/audits/wabe/2026-03-03/FCC-EEO-2025-_11.19.25-fnl.pdf,2025
wgbh-educational-foundation,WGBH Educational Foundation,FY2025 Consolidated Financial Statements,output/audits/wgbh-educational-foundation/2026-03-03/fy2025-consolidated-financial-statements.pdf,FY2025
wgbh-educational-foundation,WGBH Educational Foundation,VIEW THE 2025 ANNUAL REPORT,output/audits/wgbh-educational-foundation/2026-03-03/annualreport2025-final-interactive-144-1.pdf,2025
wgbh-educational-foundation,WGBH Educational Foundation,VIEW THE 2026 ANNUAL REPORT,output/audits/wgbh-educational-foundation/2026-03-03/annualreport2026-final-3.pdf,2026
witf-inc,"WITF, Inc.","June 30, 2025 and 2024 Consolidated Financial Statements and Supplementary Information",output/audits/witf-inc/2026-03-03/2025-Audit-Report.pdf,2025
witf-inc,"WITF, Inc.",WITF 2025 Annual Report,output/audits/witf-inc/2026-03-03/WITF_AnnualReport_fy2025_web.pdf,2025
wmht-educational-telecommunications,WMHT Educational Telecommunications,2025 Audited Financial Statements,output/audits/wmht-educational-telecommunications/2026-03-03/5b196ca804_WMHT_20Educational_20Telecommunications_20Inc._202025_20FS_20Final.pdf,2025
wmht-educational-telecommunications,WMHT Educational Telecommunications,2025 CPB FM Annual Financial Report,output/audits/wmht-educational-telecommunications/2026-03-03/b73a35f938_WMHT_20FM_20AFR_20FY2025.pdf,2025
wmht-educational-telecommunications,WMHT Educational Telecommunications,2025 CPB Television Annual Financial Report,output/audits/wmht-educational-telecommunications/2026-03-03/08027ce5a9_WMHT_20TV_20AFR_20FY2025.pdf,2025
wmky,WMKY,WMKY Morehead State University 2025 Financial Statement,output/audits/wmky/2026-03-03/wmky-morehead-state-university-2025-financial-statement.pdf,2025
wskg-public-telecommunications-council,WSKG Public Telecommunications Council,2025 Annual Report,output/audits/wskg-public-telecommunications-council/2026-03-03/fy-2025-annual-report-1.pdf,2025
wskg-public-telecommunications-council,WSKG Public Telecommunications Council,2025 Equal Employment Opportunity Annual Reports,output/audits/wskg-public-telecommunications-council/2026-03-03/wskg-eeo-feb24-jan25-fcc-report.pdf,2025
wskg-public-telecommunications-council,WSKG Public Telecommunications Council,2026 Equal Employment Opportunity Annual Reports,output/audits/wskg-public-telecommunications-council/2026-03-03/wskg-eeo-feb25-jan26-fcc-report.pdf,2026
wskg-public-telecommunications-council,WSKG Public Telecommunications Council,FY25 Audited Financial Statements,output/audits/wskg-public-telecommunications-council/2026-03-03/wskg-public-telecommunications-council-2025-financial-statement-1.pdf,2025; FY25
wunc,WUNC,2025 Audited Financial Statements,output/audits/wunc/2026-03-03/wunc-final-2025-audit.pdf,2025
